Test	Espacamento	Rep	Prod
NA	Espac1	1	5
NA	Espac1	2	5.75
NA	Espac1	3	6.75
NA	Espac1	4	9.75
NA	Espac2	1	5.5
NA	Espac2	2	8.25
NA	Espac2	3	8.5
NA	Espac2	4	8
NA	Espac3	1	9.75
NA	Espac3	2	10.75
NA	Espac3	3	11.75
NA	Espac3	4	12.5
NA	Espac4	1	11.5
NA	Espac4	2	12.25
NA	Espac4	3	16.25
NA	Espac4	4	15.25
Test1	NA	1	20
Test1	NA	2	22
Test1	NA	3	21
Test1	NA	4	21.5
