Test	Cultivar	Doses	Rep	Prod
NA	Cult1	5	1	5
NA	Cult1	5	2	5.75
NA	Cult1	5	3	6.75
NA	Cult1	5	4	9.75
NA	Cult1	10	1	5.5
NA	Cult1	10	2	8.25
NA	Cult1	10	3	8.5
NA	Cult1	10	4	8
NA	Cult1	15	1	9.75
NA	Cult1	15	2	10.75
NA	Cult1	15	3	11.75
NA	Cult1	15	4	12.5
NA	Cult1	20	1	11.5
NA	Cult1	20	2	12.25
NA	Cult1	20	3	16.25
NA	Cult1	20	4	15.25
NA	Cult2	5	1	8.75
NA	Cult2	5	2	11.75
NA	Cult2	5	3	10.25
NA	Cult2	5	4	12.75
NA	Cult2	10	1	9.25
NA	Cult2	10	2	11.5
NA	Cult2	10	3	13.75
NA	Cult2	10	4	15
NA	Cult2	15	1	14.5
NA	Cult2	15	2	12.75
NA	Cult2	15	3	15.75
NA	Cult2	15	4	8
NA	Cult2	20	1	9.5
NA	Cult2	20	2	12
NA	Cult2	20	3	10
NA	Cult2	20	4	7
Test1	NA	NA	1	20
Test1	NA	NA	2	22
Test1	NA	NA	3	21
Test1	NA	NA	4	21.5
Test2	NA	NA	1	10
Test2	NA	NA	2	15
Test2	NA	NA	3	16
Test2	NA	NA	4	18.5
Test3	NA	NA	1	8
Test3	NA	NA	2	8.2
Test3	NA	NA	3	8.5
Test3	NA	NA	4	7
